Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-12-01,The Graduate,1967,https://boxd.it/bT82Xt,1.5,,"soundtrack really was the only saving grace because boy oh boy finally i saw someone act just as strange as i am in real life. Feels like he is having anxiety attack or some every 10 seconds. But well, the ending was super cool. So yeah that's wassup.",,2025-11-30
2025-12-02,Tall Dark and Handsome,2023,https://boxd.it/bUqDTX,5,,my god they cooked with this one,,2025-08-07
2025-12-14,The Worst Person in the World,2021,https://boxd.it/c1WNen,5,,"this movie was in my watchlist so for soo long and man, id be lying if I said it was not worth it. I waited for my exam to be over just to watch this movie and the moment I reached home I put this on. It had me soo absorbed in the story that somewhere along the 40 min mark I had sharp pain in my chest, so much so it was hard to breathe for me but still kept on watching the movie, I don't know why I added this useless detail like it has nothing to do with the movie but man, the ending,,, it actually made me sad like come on it's such a masterful storytelling. Loved watching every single minute of this.",,2025-12-13
2025-12-14,Casablanca,1942,https://boxd.it/c2F7IP,5,,"This movie was just sooo mesmerizing. There is something about classic films that feels sooo soothing, and dont get me started about the ending of this one! It was particularly moving the way he decided to leave her. Loved it!",,2025-12-14
2025-12-14,Wake Up Dead Man,2025,https://boxd.it/c2IMRz,4.5,,"I'm pretty sure I will never forget this movie. From the narrative to storytelling to lighting and cinematography, everything was super well cut out and makes me feel so happy watching it for the first time. When it ended, it had me like wow, what did I just watch, and trust me, I said it not in a bad way.

Lets start with the cinematography part, the use of the sun as a lighting source is genuinely stunning. Three scenes are etched in my mind:

First, the forest confession scene. Father Jude becomes so consumed with solving the mystery and with material concerns that he loses sight of his true purpose as a priest. The phone call with Louise pulls him back onto the path of bringing people together. The scene itself with the tonal shift was soo powerful. It has to be  my favorite scene in the entire franchise!!!

Second, the scene where the detective stops the father from doing the false confession by playing the organ. It is such a small moment, but incredibly cool. <a href=""https://x.com/i/status/2000292889537261846"">this right here</a>

Third, scene where the warmth and light slowly drain from the space as Blanc explains why he is not a believer. Watching the glow fade while faith is questioned was just ""absolute cinema"". oof i can keep writing all night long.

But yeah soo much to say, too little time in our hands. Holy smoke, this movie was a banger. Daniel Craig is such a g.

Also, the detail that there are two different shots depending on which version of the story Martha is telling is incredible. Rian Johnson you fucin' genius. And the way sunlight subtly changes during interior scenes was soo clever like the moment u notice it just feels soo surreal.

There is so much more to talk about, but yeah. This was such a good watch. Oh my god im flabbergasted. Btw writing this review during map break of StarLadder Budapest Major. I just hope VITA win guys 

edit: vita won 3-1 less goo bby

stay safe!",,2025-12-14
2025-12-15,Glass Onion,2022,https://boxd.it/c2Qy3h,3.5,,"Such a badass movie, on God. Especially the ending, when the alarm goes “don’t smoke cigarettes” or something along the words and Blanc lights one anyway. Again i have soo much to talk but i dont think it worth typing here. If you are having second thoughts about watching this pls for the love of god, pls do it!!!

By the way, this movie had him playing among us, sitting hunched over, just being in a bathtub. 

I’m so in love with Rian’s work. On my way to watch all three Knives Out movies in a single day lol. Wish me luck.",,2025-12-14
2025-12-15,Knives Out,2019,https://boxd.it/c32nsz,4.5,,what an amazing movie diffidently the best of the franchise. literally finished watching this in between maps of the Budapest Major(i hope vita win) and boy i was soo absorbed kinda forgot faze lost dust2 3-13. my lord Daniel Craig is a such a g.,,2025-12-14
2025-12-15,When Harry Met Sally...,1989,https://boxd.it/c3CqSn,,Yes,"rest in peace, Rob Reiner. you'll always have a special place in my heart.",,2025-12-15
2025-12-16,Bugonia,2025,https://boxd.it/c3XcxR,3.5,,me n broski one fine saturday night,,2025-12-16
2025-12-16,Cars,2006,https://boxd.it/c4ttj7,,Yes,i miss being 14 and carefree,,2025-12-15
2025-12-16,Cars 3,2017,https://boxd.it/c4tNmb,,Yes,"such a fitting end to the franchise, I really miss the version of myself when I first watched this movie. Brings back soo many memories 

♥️♥️♥️",,2025-12-16
2025-12-17,The Apartment,1960,https://boxd.it/c4LWFR,,Yes,"hey lady why is your mirror broken?

makes me look the way I feel.

holy fuck.",,2025-12-16
2025-12-17,American Graffiti,1973,https://boxd.it/c4OrIh,,Yes,"it doesn't make sense to leave home to look for home, to give up a life to find a new life, to say goodbye to friends you love just to find new friends

will you please shut up for once, Laurie",,2025-12-16
2025-12-17,Notting Hill,1999,https://boxd.it/c5mK6T,5,,"I do not believe in such a madeup concept as of love, and I just simply dont believe it exists. But this movie made me question my belief. How can two people with two completely different worlds meet under such fanciful circumstances? Notting Hill is pure art. It's beauty in the struggle, ugliness in the success. Possibly, I will add it to my comfort movie list, because I kid you not, it felt very, very soothing watching this.

I was really procrastinating on watching this movie for so long prolly over a month, but today I decided why not let’s watch this bright and early in this lovely winter morning. Well, I did just that, and now I consider it a big mistake, because I cannot think of anything else. That's what this movie has been for me.

Also here is a absolute kino dialogue from this movie atleast:

<b>William</b>: I live in Notting Hill. You live in Beverly Hills. Everyone in the world knows who you are, my mother has trouble remembering my name.

<b>Anna</b>: I'm also just a girl, standing in front of a boy, asking him to love her.

And when spike says, I knew a girl at school called Pandora. Never got to see her box, though.

Oh boyy

Side note: this movie has a When Harry Met Sally reference about Meg Ryan having an orgasm whenever you took <a href=""http://youtu.be/J_lEs4FYkhs?si=MH_bUDGKOekUUlI9"">her to coffee</a>. It quietly reminded me of Mr. Reiner's masterpiece now that he is no longer with us I became sad for a while. But that is what life is.. Thank you Mr.Reiner for your works.

The Beautiful Simplicity of Love in Notting Hill! That is super hard to capture, and they really did a great job doing so. I really loved it, per se.",,2025-12-17
2025-12-17,Sleepless in Seattle,1993,https://boxd.it/c5qcch,,Yes,"I love you Nora Ephron, and yes i mean it,

I love you for giving me two of the purest romcoms ever made: Sleepless in Seattle and You’ve Got Mail. 

What I figured out was love is not a truth nor a promise, its something that happens when people hesitate long enough, to notice each other.

Also Love is not destiny, but as a momentary alignment, accidental, and real only while it lasts.

I love you. Regard
me",,2025-12-17
2025-12-17,Adventures in Babysitting,1987,https://boxd.it/c5qSOn,,Yes,"I really wanted to write this for a long time, so here goes nothing:

<b>Adventures in Babysitting</b> <i>1987</i> directed by Chris Colombus is by far one of my favorite movies, It presents chaos as a shortcut to maturity. It gives me a solid glimpse of one single night filled with danger and improv, yet optimism! somehow it feels oddly comforting.

Allowing fear to exist without ethical weight is such an interesting concept used here, and is partly the reason the film make me feel this way. It also captures the emotional truth of growing up and not being 17 anymore as a feeling of being hurled forward by forces we cannot control, such is life. While quietly avoiding the more unsettling reality that growth is rarely bestowed by chaos itself.

Now time to talk about my favorite character, Chris!

I loved the character arc of Chris. She does not begin the night as a hero. But she becomes hyper-competent under pressure. As the night worsens, she grows decisive, fearless, and morally centered. As events unfold, Chris’s emotional center shifts. By the end, she stops measuring herself through romantic approval and begins acting from internal conviction. We can clearly observe, this marks a movement from external validation to a much more grounded agency. She realizes that love is no longer something that defines her worth.

She returns home unchanged on the surface. The same house, the same job, the same social position. But the night has quietly reorganized her inner hierarchy of values. Her boyfriend’s rejection no longer defines her emotional center. What mattered was not being chosen, but choosing correctly under pressure. The film affirms that dignity can emerge without romantic validation. Chris carries something others cannot see: proof that she can act decisively, protect others, and remain humane inside fear.

Chicago is portrayed as overwhelming but not nihilistic, a city that rewards awareness rather than innocence which makes it much more human, philosophically.

For me, the film is about trust in momentum. There is no ethical discomfort. It treats the city as an external test rather than a human-made structure. The film understands night- time as a liminal space where ordinary rules dissolve and identity becomes fluid.

The ending restores everyone's normal life without forgetting the experiences they have had. The night matters. Even if it leaves no visible scars. This strongly affirms that not all meaningful experiences need permanent markers. :)

Some truths are internal and carried forward quietly. 

That's enough Mr.West now go back to your stupid chungus life!
:) also i used a bit of ai writing this to correct a few oopsie so dont mind me being as cs major.
regards,
me ofc!",,2025-12-17
2025-12-18,Frances Ha,2012,https://boxd.it/c5Gd3n,4.5,,this movie is a warm hug,,2025-12-17
2025-12-18,Now You See Me: Now You Don't,2025,https://boxd.it/c5JLZL,3.5,,"there is a guy named Charlie and guess what his signature trick is, catching bullets. also the look atlas, here's your dad joke while pointing to a map was really funny for some reason. i know I know i'm just pathetic:)

jokes aside, amazing i loved it and I'm really looking forward to the next installment. Take care",,2025-12-18
2025-12-18,Amélie,2001,https://boxd.it/c5N51x,5,,perfect comfort movie doesn't exsists,,2025-12-18
2025-12-18,Chungking Express,1994,https://boxd.it/c5TzAz,4.5,,"if this isn't art, I don't know what is.",,2025-12-18
