Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-06-06,Obsession,2025,https://boxd.it/eF91ul,5,,,2026-06-06
2026-06-14,Disturbia,2007,https://boxd.it/eLY3jb,,,,2026-06-13
2026-06-14,Heathers,1989,https://boxd.it/eM0UDd,,,,2026-06-13
2026-06-14,The Lovers on the Bridge,1991,https://boxd.it/eMLALl,5,Yes,,2026-06-14
2026-06-22,Ruby Sparks,2012,https://boxd.it/eTGDm7,5,,,2026-06-22
2026-06-22,Prisoners,2013,https://boxd.it/eTJgFL,3,,,2026-06-22
2026-06-23,There Will Be Blood,2007,https://boxd.it/eUuq8L,4,,,2026-06-23
2026-06-23,Killers of the Flower Moon,2023,https://boxd.it/eUx5Pb,,,,2026-06-23
2026-06-23,Insomnia,2002,https://boxd.it/eUzkVH,,,,2026-06-23
2026-06-24,Rosetta,1999,https://boxd.it/eVjssZ,5,,,2026-06-24
2026-06-25,The Insider,1999,https://boxd.it/eWdcN5,,,,2026-06-25
2026-06-26,Parasite,2019,https://boxd.it/eWjdk1,1.5,,,2026-06-25
2026-06-30,The Sheep Detectives,2026,https://boxd.it/f0FPL5,,,,2026-06-30
2026-06-30,The Usual Suspects,1995,https://boxd.it/f0HgV9,,,,2026-06-30
2026-06-30,Vertigo,1958,https://boxd.it/f0LN7T,,,,2026-06-30
2026-07-02,Paul,2011,https://boxd.it/f2wCr7,,,,2026-07-02
2026-07-03,Apocalypse Now,1979,https://boxd.it/f2MXK7,,,,2026-07-02
2026-07-03,Incendies,2010,https://boxd.it/f2SzFf,5,,,2026-07-02
2026-07-03,Barry Lyndon,1975,https://boxd.it/f3zH8J,,,,2026-07-03
2026-07-04,Videodrome,1983,https://boxd.it/f3Fq19,,,,2026-07-03
2026-07-06,Magnolia,1999,https://boxd.it/f5FMmL,5,Yes,,2026-07-05
2026-07-06,Blue Velvet,1986,https://boxd.it/f6A5FT,5,Yes,,2026-07-06
2026-07-07,Blade Runner,1982,https://boxd.it/f6Hoaz,,,,2026-07-06
2026-07-07,Falcon Lake,2022,https://boxd.it/f6KTUz,5,,,2026-07-06
2026-07-07,Blade Runner 2049,2017,https://boxd.it/f6UhGT,,,,2026-07-06
2026-07-07,Hot Fuzz,2007,https://boxd.it/f6YJkT,,,,2026-07-07
2026-07-07,Psycho,1960,https://boxd.it/f7yiAx,,,,2026-07-07
2026-07-07,Into the Night,1985,https://boxd.it/f7zBOZ,5,Yes,,2026-07-07
2026-07-08,Paint Drying,2016,https://boxd.it/f8naA7,,,,2026-07-08
2026-07-08,Project Hail Mary,2026,https://boxd.it/f8q2GH,5,Yes,,2026-07-08
2026-07-09,The Raid,2011,https://boxd.it/f9mhEx,,,,2026-07-09
2026-07-10,Memories of Murder,2003,https://boxd.it/f9vpwT,,,,2026-07-09
2026-07-10,I Saw the Devil,2010,https://boxd.it/f9AiJh,,,,2026-07-09
2026-07-10,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/faeOBf,,,,2026-07-10
2026-07-10,The Furious,2025,https://boxd.it/fafVF1,,,,2026-07-10
2026-07-10,"O Brother, Where Art Thou?",2000,https://boxd.it/fagpe5,5,,,2026-07-10
