Date,Name,Year,Letterboxd URI
2026-05-15,Into the Wild,2007,https://boxd.it/22m2
2026-05-15,L'Avventura,1960,https://boxd.it/23hs
2026-05-15,Sleepy Hollow,1999,https://boxd.it/26u0
2026-05-15,Wayne's World,1992,https://boxd.it/1ZHG
2026-05-15,She's All That,1999,https://boxd.it/1Wz0
2026-05-15,Loser,2000,https://boxd.it/1VKw
2026-05-15,Don't Tempt Me,2001,https://boxd.it/14YU
2026-05-15,Run Lola Run,1998,https://boxd.it/2b8o
2026-05-15,Devil in the Flesh,1998,https://boxd.it/Py8
2026-05-15,Holes,2003,https://boxd.it/20mE
2026-05-15,Pitch Black,2000,https://boxd.it/26iS
2026-05-15,Swingers,1996,https://boxd.it/1WNc
2026-05-15,Permanent Midnight,1998,https://boxd.it/1AKU
2026-05-15,Personal Velocity,2002,https://boxd.it/1gNO
2026-05-15,Annie Hall,1977,https://boxd.it/29M2
2026-05-16,The Mexican,2001,https://boxd.it/226y
2026-05-16,Club Kid,2026,https://boxd.it/Z6lK
2026-05-17,Blue Heron,2025,https://boxd.it/IWJq
2026-05-17,The Batman: Part II,2027,https://boxd.it/umDy
2026-05-18,The Blair Witch Project,1999,https://boxd.it/26ua
2026-05-18,Malina,1991,https://boxd.it/7UE
2026-05-18,Training Day,2001,https://boxd.it/27A4
2026-05-18,I Believe in Unicorns,2014,https://boxd.it/7qGA
2026-05-18,Another Round,2020,https://boxd.it/lkba
2026-05-18,Do the Right Thing,1989,https://boxd.it/29gA
2026-05-19,Elena Undone,2010,https://boxd.it/om0
2026-05-19,Ammonite,2020,https://boxd.it/kQpQ
2026-05-19,Paterson,2016,https://boxd.it/cRk2
2026-05-19,Lady Bird,2017,https://boxd.it/dGNE
2026-05-20,Fjord,2026,https://boxd.it/RVja
2026-05-20,One Fine Day,1996,https://boxd.it/211i
2026-05-20,It Happened One Night,1934,https://boxd.it/25Ng
2026-05-20,Sweet November,2001,https://boxd.it/27QQ
2026-05-20,House of 1000 Corpses,2003,https://boxd.it/26uE
2026-05-20,The Devil's Rejects,2005,https://boxd.it/28hC
2026-05-20,Almost Famous,2000,https://boxd.it/29CQ
2026-05-20,The Kindergarten Teacher,2018,https://boxd.it/hE3i
2026-05-20,How to Deal,2003,https://boxd.it/1IIW
2026-05-20,Beautiful Wave,2012,https://boxd.it/3pKo
2026-05-20,Little Women,2019,https://boxd.it/aSVk
2026-05-20,Desperately Seeking Susan,1985,https://boxd.it/20xi
2026-05-20,The Virgin Suicides,1999,https://boxd.it/28JG
2026-05-20,My Cousin Vinny,1992,https://boxd.it/1WpO
2026-05-20,One Crazy Summer,1986,https://boxd.it/1HeQ
2026-05-20,Some Like It Hot,1959,https://boxd.it/2aNA
2026-05-20,A Bronx Tale,1993,https://boxd.it/28uQ
